keyword,competition,lower_bid,upper_bid,CPC
contrato de moviles,68,0.76,4.56,1.86
contrato fibra,55,1.5,5.95,2.99
contrato infinito,17,0.91,2.08,1.36
contrato internet,61,1.69,6.15,2.41
contrato linea movil,57,2.18,5.43,3.12
contrato mas movil,37,0.65,5.97,4.06
contrato movil,93,1.37,4.41,2.02
contrato móvil,93,1.37,4.41,2.02
contrato movil barato,75,1.11,3.33,1.79
contrato movil con terminal,96,1.28,3.89,2.29
contrato móvil con terminal,96,1.28,3.89,2.29
contrato movil datos ilimitados,63,0.76,2.82,1.34
contrato movil mas barato,58,0.97,3.26,1.5
contrato movil movistar,89,0.38,1.79,0.42
comprobar cobertura movil,17,0.39,1.74,0.61
comprobar cobertura móvil,17,0.39,1.75,0.61
comprobar cobertura movil en mi zona,18,0.4,0.95,0.56
comprobar cobertura movistar fibra,19,0.53,3.18,1.51
comprobar cobertura orange fibra,35,0.7,6.03,1.76
comprobar cobertura r,26,0.49,2.48,1.23
comprobar cobertura vodafone,20,0.6,2.57,1.17
comprobar fibra,67,0.56,2.36,0.99
comprobar fibra masmovil,34,0.64,1.19,1.15
comprobar fibra movistar,21,0.41,3.56,1.25
comprobar fibra optica,99,0.48,2.22,0.91
comprobar fibra optica en mi zona,55,0.49,2.09,1.76
comprobar fibra orange,28,0.7,9.54,2.13
comprobar fibra vodafone,23,0.72,2.57,1.4
comprobar internet en casa,18,0.07,1.01,0.6
comprobar internet en mi zona,28,0.41,1.82,0.61
comprobar numero de telefono,15,0.08,0.25,0.12
comprobar numero movil,6,0.09,0.64,0.13
comprobar número teléfono,8,0.09,0.32,0.12
comprobar numero telefono movil,21,0.13,0.3,0.18
comprobar red,100,0.04,0.24,0.16
comprobar si hay fibra en mi zona,55,0.45,3.11,1.31
comprobar si llega fibra a mi casa,51,0.54,1.99,1.11
comprobar wifi,5,0.03,0.1,0.04
comprobar wifi movistar,9,1.09,2.67,1.74
comprobar wifi orange,24,0.72,5.32,1.19
comprobar wifi vodafone,11,0.96,2.58,2.83
comprovar wifi,10,0.0,0.0,0.04
conectar roaming,1,0.0,0.0,0.09
configura mi dispositivo,1,0.05,0.1,0.06
configuración del móvil,3,0.06,0.14,0.06
configuracion del telefono,3,0.05,0.12,0.06
configuracion movil,1,0.0,0.0,0.07
configuración móvil,1,0.0,0.0,0.06
configuracion telefono,3,0.05,0.12,0.06
configuraciones del teléfono,3,0.05,0.12,0.06
configurar mi telefono,1,0.04,0.08,0.06
configurar mi teléfono,1,0.04,0.08,0.06
configurar movil,3,0.06,0.14,0.07
conseguir movil gratis,80,0.56,2.54,0.89
conseguir móvil gratis,80,0.56,2.54,0.89
conseguir móvil gratis portabilidad,77,0.87,2.75,1.39
consulta cobertura fibra,54,0.73,3.18,1.16
consulta cobertura fibra movistar,26,0.57,2.38,0.83
consulta cobertura fibra vodafone,18,0.88,2.58,1.66
consulta cobertura movistar fibra,26,0.57,2.38,1.85
consulta cobertura vodafone,18,0.72,2.59,1.14
consulta numero vodafone,7,0.69,2.58,1.17
consulta operador movil,3,0.54,3.96,0.74
consulta operador móvil,3,0.54,3.97,0.74
consulta portabilidad fijo,0,0.0,0.0,3.09
consulta portabilidad movil,0,0.0,0.0,3.15
consulta vodafone,22,0.69,2.59,1.24
